city,mayor,start_year,end_year,start_homeless,end_homeless,start_unsheltered_share,end_unsheltered_share,abs_change_homeless,pct_change_homeless,pp_change_unsheltered_share
Chicago,Brandon Johnson,2024,2024,18836.0,18836.0,0.08674877893395626,0.08674877893395626,0.0,0.0,0.0
Chicago,Lori Lightfoot,2020,2023,5390.0,6139.0,0.2836734693877551,0.1612640495194657,749.0,13.896103896103895,-12.24094198682894
Chicago,Rahm Emanuel,2011,2019,6635.0,5290.0,0.2595327807083647,0.2381852551984877,-1345.0,-20.271288620949512,-2.1347525509877006
Los Angeles,Antonio Villaraigosa,2011,2013,34622.0,35524.0,0.5123909652821905,0.635908118455129,902.0,2.6052798798451793,12.351715317293843
Los Angeles,Eric Garcetti,2014,2022,34393.0,65111.0,0.6568197016834821,0.7046121239114742,30718.0,89.31468612799117,4.779242222799207
Los Angeles,Karen Bass,2023,2024,71320.0,71201.0,0.7334127874369041,0.6953413575652028,-119.0,-0.16685361749859684,-3.807142987170131
New York City,Bill de Blasio,2014,2021,67810.0,68358.0,0.04950597257041734,0.034860586910090995,548.0,0.8081403922725272,-1.4645385660326347
New York City,Eric Adams,2022,2024,61840.0,140134.0,0.055869987063389394,0.031377110479969175,78294.0,126.60737386804657,-2.449287658342022
New York City,Michael Bloomberg,2011,2013,51123.0,64060.0,0.05179664730160593,0.049640961598501405,12937.0,25.305635428280816,-0.21556857031045235
San Francisco,Ed Lee,2011,2017,5669.0,6858.0,0.5946375022049745,0.6347331583552056,1189.0,20.973716704886215,4.009565615023114
San Francisco,London Breed,2019,2024,8035.0,8323.0,0.6446795270690728,0.5231286795626577,288.0,3.5843186060983134,-12.15508475064151
San Francisco,Mark Farrell (interim),2018,2018,6857.0,6857.0,0.6348257255359486,0.6348257255359486,0.0,0.0,0.0
