metro,mode,upt,metro_total,period,mode_share
Chicago,MB,1407505225,2960776845,pre_2015_2019,0.475383758616229
Chicago,HR,1154888018,2960776845,pre_2015_2019,0.39006249996527514
Chicago,CR,362676882,2960776845,pre_2015_2019,0.12249382543384488
Chicago,DR,26172446,2960776845,pre_2015_2019,0.008839722603275087
Chicago,VP,7902539,2960776845,pre_2015_2019,0.0026690761964534345
Chicago,FB,1631735,2960776845,pre_2015_2019,0.0005511171849224591
Chicago,MB,200869296,380710497,recent_12m,0.5276169099167234
Chicago,HR,135202835,380710497,recent_12m,0.35513293188761225
Chicago,CR,39916163,380710497,recent_12m,0.10484649967505362
Chicago,DR,3641756,380710497,recent_12m,0.009565683186297856
Chicago,VP,542372,380710497,recent_12m,0.0014246310629044726
Chicago,FB,538075,380710497,recent_12m,0.0014133442714084135
Chicago,MB,223063335,372036523,shock_2020_2021,0.5995737547520301
Chicago,HR,121192997,372036523,shock_2020_2021,0.32575564361996795
Chicago,CR,22459968,372036523,shock_2020_2021,0.060370330898937036
Chicago,DR,4758280,372036523,shock_2020_2021,0.012789819562957263
Chicago,VP,547495,372036523,shock_2020_2021,0.0014716162692446192
Chicago,FB,14448,372036523,shock_2020_2021,3.883489686306954e-05
NYC,HR,13890160352,21295998554,pre_2015_2019,0.6522427354969476
NYC,MB,5346259049,21295998554,pre_2015_2019,0.2510452391064714
NYC,CR,1412615126,21295998554,pre_2015_2019,0.06633242026280427
NYC,FB,175237960,21295998554,pre_2015_2019,0.008228680122965414
NYC,CB,160870753,21295998554,pre_2015_2019,0.007554036622987273
NYC,RB,141468494,21295998554,pre_2015_2019,0.006642961288773574
NYC,LR,105192085,21295998554,pre_2015_2019,0.004939523485281319
NYC,DR,47087434,21295998554,pre_2015_2019,0.0022110930314256446
NYC,YR,13601329,21295998554,pre_2015_2019,0.000638680030218413
NYC,VP,3505972,21295998554,pre_2015_2019,0.0001646305521250835
NYC,HR,2385858758,3704395282,recent_12m,0.6440616015232253
NYC,MB,970314193,3704395282,recent_12m,0.26193592182639003
NYC,CR,236907870,3704395282,recent_12m,0.06395318316896614
NYC,RB,35369528,3704395282,recent_12m,0.009547989700738422
NYC,FB,30524087,3704395282,recent_12m,0.008239964873165499
NYC,LR,21157951,3704395282,recent_12m,0.0057115802686631325
NYC,CB,16118478,3704395282,recent_12m,0.004351176581592461
NYC,DR,6295792,3704395282,recent_12m,0.0016995464902441262
NYC,YR,1631335,3704395282,recent_12m,0.0004403782198748627
NYC,VP,217290,3704395282,recent_12m,5.865734713998591e-05
NYC,HR,2015110472,3313688415,shock_2020_2021,0.6081170646214786
NYC,MB,1034518119,3313688415,shock_2020_2021,0.31219535135442117
NYC,CR,165264857,3313688415,shock_2020_2021,0.049873384670658605
NYC,RB,28639838,3313688415,shock_2020_2021,0.008642888048965822
NYC,FB,25998499,3313688415,shock_2020_2021,0.007845788663265131
NYC,LR,19489066,3313688415,shock_2020_2021,0.005881381578237494
NYC,CB,13530794,3313688415,shock_2020_2021,0.004083303046463408
NYC,DR,8109687,3313688415,shock_2020_2021,0.0024473293757162136
NYC,YR,2700109,3313688415,shock_2020_2021,0.0008148349095761316
NYC,VP,326974,3313688415,shock_2020_2021,9.867373121742347e-05
SF Bay,MB,885437971,2270652801,pre_2015_2019,0.38994863970839194
SF Bay,HR,650455660,2270652801,pre_2015_2019,0.2864619635875366
SF Bay,TB,270236435,2270652801,pre_2015_2019,0.11901266229737428
SF Bay,LR,250324173,2270652801,pre_2015_2019,0.11024326259380418
SF Bay,CR,89322988,2270652801,pre_2015_2019,0.039338021189616476
SF Bay,SR,36365394,2270652801,pre_2015_2019,0.01601539168999532
SF Bay,CC,29756211,2270652801,pre_2015_2019,0.0131046943799137
SF Bay,FB,26371544,2270652801,pre_2015_2019,0.011614080315751453
SF Bay,CB,14657624,2270652801,pre_2015_2019,0.0064552466997793555
SF Bay,DR,8822831,2270652801,pre_2015_2019,0.0038855922825869315
SF Bay,MG,4778919,2270652801,pre_2015_2019,0.002104645412057429
SF Bay,YR,3608249,2270652801,pre_2015_2019,0.0015890800206931328
SF Bay,VP,514802,2270652801,pre_2015_2019,0.00022671982249918623
SF Bay,MB,132202949,308340908,recent_12m,0.42875578805780773
SF Bay,HR,59775956,308340908,recent_12m,0.19386320286765193
SF Bay,TB,48103674,308340908,recent_12m,0.15600808310521028
SF Bay,LR,34228996,308340908,recent_12m,0.11101023286861438
SF Bay,CR,12918299,308340908,recent_12m,0.04189615670457843
SF Bay,RB,4854871,308340908,recent_12m,0.01574514076477974
SF Bay,FB,4637810,308340908,recent_12m,0.015041176437088263
SF Bay,SR,3514216,308340908,recent_12m,0.01139717730869496
SF Bay,CC,3227000,308340908,recent_12m,0.010465688840742468
SF Bay,YR,1432940,308340908,recent_12m,0.004647258806152312
SF Bay,DR,1159799,308340908,recent_12m,0.0037614178654491086
SF Bay,VP,1081165,308340908,recent_12m,0.00350639494127714
SF Bay,CB,828591,308340908,recent_12m,0.0026872561457203727
SF Bay,MG,374642,308340908,recent_12m,0.0012150252862328601
SF Bay,MB,136295871,244998186,shock_2020_2021,0.5563137965437834
SF Bay,HR,40777604,244998186,shock_2020_2021,0.16644043233854802
SF Bay,TB,36902012,244998186,shock_2020_2021,0.15062157235727452
SF Bay,LR,13895420,244998186,shock_2020_2021,0.056716419933003095
