metro,mode,baseline_mode_monthly_avg,recent12m_mode_monthly_avg,pct_of_baseline
Chicago,FB,33994.479166666664,44839.583333333336,131.9025454500884
Chicago,MB,5099656.612318841,4184777.0,82.05997615390734
Chicago,DR,49012.07116104869,37934.958333333336,77.39921499885796
Chicago,HR,19248133.633333333,11266902.916666666,58.53504101382061
Chicago,CR,3022307.35,1108782.3055555555,36.68661645400014
Chicago,VP,131708.98333333334,45197.666666666664,34.31631276985789
NYC,RB,2357808.2333333334,2947460.6666666665,125.0084983586522
NYC,FB,486772.1111111111,508734.7833333333,104.51190027548824
NYC,MB,4950239.860185185,5053719.755208333,102.09040163599823
NYC,LR,876600.7083333334,881581.2916666666,100.56817012420657
NYC,HR,77167557.51111111,66273854.38888889,85.8830530943607
NYC,CR,7847861.811111111,6580774.166666667,83.85435835974477
NYC,DR,64948.18482758621,47695.393939393936,73.43606917731088
NYC,CB,221585.05922865015,149245.16666666666,67.35344304629443
NYC,YR,226688.81666666668,135944.58333333334,59.96969119708817
NYC,VP,58432.86666666667,18107.5,30.988553245719018
SF Bay,VP,36771.57142857143,90097.08333333333,245.01831124717205
SF Bay,TB,4503940.583333333,4008639.5,89.00293922246274
SF Bay,FB,219762.86666666667,193242.08333333334,87.93209074144464
SF Bay,MB,1639699.9462962963,1377114.0520833333,83.98573502389361
SF Bay,CR,1488716.4666666666,1076524.9166666667,72.3122865079256
SF Bay,DR,19871.24099099099,13807.130952380952,69.48298276207652
SF Bay,LR,4172069.55,2852416.3333333335,68.36933802633595
SF Bay,YR,180412.45,119411.66666666667,66.18815201870308
SF Bay,CC,495936.85,268916.6666666667,54.22397361008095
SF Bay,SR,606089.9,292851.3333333333,48.31813454296686
SF Bay,HR,10840927.666666666,4981329.666666667,45.94929345376133
SF Bay,MG,79648.65,31220.166666666668,39.19735823101417
SF Bay,CB,122146.86666666667,34524.625,28.264847017497512
