metro,date,upt,year,month,baseline_monthly_mean,pct_of_baseline,jan2019_upt,index_jan2019_100,upt_12m_avg
Chicago,2002-01-01,48895831,2002,1,45894020.6,1.0654074400271656,40896269,119.56061566398637,
Chicago,2002-02-01,45993659,2002,2,45198820.2,1.0175853882132968,40896269,112.46419324951134,
Chicago,2002-03-01,48335790,2002,3,50656980.0,0.954178279084146,40896269,118.191197343699,47741760.0
Chicago,2002-04-01,49837460,2002,4,49157274.6,1.013836922521331,40896269,121.86309709572774,48265685.0
Chicago,2002-05-01,51606509,2002,5,51113222.0,1.0096508688104224,40896269,126.18879487515109,48933849.8
Chicago,2002-06-01,48792124,2002,6,50755660.2,0.9613139462226914,40896269,119.30703018409821,48910228.833333336
Chicago,2002-07-01,50774699,2002,7,50134314.8,1.0127733709447246,40896269,124.15484405191096,49176581.71428572
Chicago,2002-08-01,50163203,2002,8,51053404.2,0.9825633331616307,40896269,122.65960740819656,49299909.375
Chicago,2002-09-01,51097348,2002,9,51562059.0,0.9909873459475309,40896269,124.9437888820616,49499624.777777776
Chicago,2002-10-01,55047438,2002,10,54155936.8,1.0164617445967623,40896269,134.60259174253767,50054406.1
Chicago,2002-11-01,48434838,2002,11,48094651.8,1.0070732646410385,40896269,118.43339058631486,49907172.63636363
Chicago,2002-12-01,46409542,2002,12,44379024.8,1.0457539842110277,40896269,113.48111486649309,49615703.416666664
Chicago,2003-01-01,47056551,2003,1,45894020.6,1.025330759536897,40896269,115.06318828253012,49462430.083333336
Chicago,2003-02-01,44464628,2003,2,45198820.2,0.9837563857474314,40896269,108.72539008387294,49335010.833333336
Chicago,2003-03-01,48244262,2003,3,50656980.0,0.9523714599646486,40896269,117.96739208654952,49327383.5
Chicago,2003-04-01,48484686,2003,4,49157274.6,0.9863176181862613,40896269,118.55527945593276,49214652.333333336
Chicago,2003-05-01,49350925,2003,5,51113222.0,0.9655217000407449,40896269,120.67341644295229,49026687.0
Chicago,2003-06-01,48532893,2003,6,50755660.2,0.9562065158596833,40896269,118.67315573457324,49005084.416666664
Chicago,2003-07-01,49586132,2003,7,50134314.8,0.9890657167214342,40896269,121.24854714741826,48906037.166666664
Chicago,2003-08-01,47679965,2003,8,51053404.2,0.9339233249405923,40896269,116.58756694895567,48699100.666666664
Chicago,2003-09-01,51373925,2003,9,51562059.0,0.996351309399805,40896269,125.62007795870083,48722148.75
Chicago,2003-10-01,54022596,2003,10,54155936.8,0.9975378359626124,40896269,132.09663698172565,48636745.25
Chicago,2003-11-01,45108275,2003,11,48094651.8,0.9379062600885698,40896269,110.29924270108846,48359531.666666664
Chicago,2003-12-01,45603450,2003,12,44379024.8,1.0275901781419947,40896269,111.51004997546352,48292357.333333336
Chicago,2004-01-01,45149340,2004,1,45894020.6,0.9837739080110144,40896269,110.39965528395757,48133423.083333336
Chicago,2004-02-01,44940758,2004,2,45198820.2,0.994290510264248,40896269,109.88962831792797,48173100.583333336
Chicago,2004-03-01,50255078,2004,3,50656980.0,0.9920662068682341,40896269,122.88426115350524,48340668.583333336
Chicago,2004-04-01,48215989,2004,4,49157274.6,0.9808515503013667,40896269,117.89825864065986,48318277.166666664
Chicago,2004-05-01,48007627,2004,5,51113222.0,0.9392408680478018,40896269,117.3887696210136,48206335.666666664
Chicago,2004-06-01,49981724,2004,6,50755660.2,0.9847517262715065,40896269,122.2158529913817,48327071.583333336
Chicago,2004-07-01,48819847,2004,7,50134314.8,0.9737810757912264,40896269,119.37481876402956,48263214.5
Chicago,2004-08-01,48275642,2004,8,51053404.2,0.9455910483634311,40896269,118.04412280249818,48312854.25
Chicago,2004-09-01,51554153,2004,9,51562059.0,0.9998466702037636,40896269,126.06077341676327,48327873.25
Chicago,2004-10-01,52523481,2004,10,54155936.8,0.9698563833171473,40896269,128.43098474337597,48202947.0
Chicago,2004-11-01,48735253,2004,11,48094651.8,1.0133195932608874,40896269,119.1679685987981,48505195.166666664
Chicago,2004-12-01,45660325,2004,12,44379024.8,1.028871752044448,40896269,111.64912134160699,48509934.75
Chicago,2005-01-01,46299658,2005,1,45894020.6,1.0088385675235436,40896269,113.21242531928768,48605794.583333336
Chicago,2005-02-01,46464714,2005,2,45198820.2,1.0280072310383004,40896269,113.61602203858743,48732790.916666664
Chicago,2005-03-01,50474080,2005,3,50656980.0,0.9963894412971323,40896269,123.41976721641772,48751041.083333336
Chicago,2005-04-01,50423460,2005,4,49157274.6,1.0257578437841222,40896269,123.2959906440365,48934997.0
Chicago,2005-05-01,50949857,2005,5,51113222.0,0.9968038602614407,40896269,124.5831422910486,49180182.833333336
Chicago,2005-06-01,52203154,2005,6,50755660.2,1.0285188645817278,40896269,127.64771769278025,49365302.0
Chicago,2005-07-01,49712956,2005,7,50134314.8,0.9915954012400305,40896269,121.55865856613961,49439727.75
Chicago,2005-08-01,52011969,2005,8,51053404.2,1.0187757273980174,40896269,127.18023005961743,49751088.333333336
Chicago,2005-09-01,54654189,2005,9,51562059.0,1.0599690947174938,40896269,133.64101502755668,50009424.666666664
Chicago,2005-10-01,54839393,2005,10,54155936.8,1.012620152847213,40896269,134.09387785472558,50202417.333333336
Chicago,2005-11-01,50271656,2005,11,48094651.8,1.045264995556117,40896269,122.92479785869955,50330450.916666664
Chicago,2005-12-01,47066712,2005,12,44379024.8,1.0605621059072934,40896269,115.08803406980721,50447649.833333336
Chicago,2006-01-01,47758168,2006,1,45894020.6,1.040618524496849,40896269,116.77878977175156,50569192.333333336
Chicago,2006-02-01,46148031,2006,2,45198820.2,1.0210007870957658,40896269,112.8416653362682,50542802.083333336
Chicago,2006-03-01,52795356,2006,3,50656980.0,1.0422128599059794,40896269,129.0957764386771,50736241.75
Chicago,2006-04-01,48850774,2006,4,49157274.6,0.9937648984307197,40896269,119.45044179947075,50605184.583333336
Chicago,2006-05-01,53342087,2006,5,51113222.0,1.0436064273154215,40896269,130.43264900277333,50804537.083333336
Chicago,2006-06-01,51896751,2006,6,50755660.2,1.022482040338035,40896269,126.89849775782724,50779003.5
Chicago,2006-07-01,50672472,2006,7,50134314.8,1.0107343084700942,40896269,123.90487748405606,50858963.166666664
Chicago,2006-08-01,52511205,2006,8,51053404.2,1.0285544288934996,40896269,128.4009673351865,50900566.166666664
Chicago,2006-09-01,53040022,2006,9,51562059.0,1.0286637700018924,40896269,129.69403639241517,50766052.25
Chicago,2006-10-01,55125543,2006,10,54155936.8,1.0179039687482612,40896269,134.7935749346719,50789898.083333336
Chicago,2006-11-01,51084025,2006,11,48094651.8,1.0621560420570506,40896269,124.91121133812966,50857595.5
Chicago,2006-12-01,47310333,2006,12,44379024.8,1.066051658710626,40896269,115.6837387782245,50877897.25
Chicago,2007-01-01,49243519,2007,1,45894020.6,1.0729833289001487,40896269,120.41078612819179,51001676.5
Chicago,2007-02-01,44400379,2007,2,45198820.2,0.9823349105913166,40896269,108.56828773304478,50856038.833333336
Chicago,2007-03-01,52753789,2007,3,50656980.0,1.0413923017124196,40896269,128.99413635996964,50852574.916666664
Chicago,2007-04-01,50020289,2007,4,49157274.6,1.0175561889267148,40896269,122.31015254716758,50950034.5
Chicago,2007-05-01,54450209,2007,5,51113222.0,1.0652861797677322,40896269,133.14224092178188,51042378.0
