metro,month,pre_avg,recent_avg,pct_of_pre
Chicago,1,2494240.25,1514926.388888889,60.73698750105925
Chicago,2,2456457.6195652173,1482573.7222222222,60.354133953454145
Chicago,3,2753096.7391304346,1731808.2777777778,62.904011078258335
Chicago,4,2671591.0108695654,1828231.9444444445,68.43232878858133
Chicago,5,2777892.5,1853509.3333333333,66.72358031613294
Chicago,6,2758459.7934782607,1790693.1666666667,64.9164135326658
Chicago,7,2754632.681318681,1865917.0,67.73741605021397
Chicago,8,2805132.098901099,1936558.4444444445,69.03626553641038
Chicago,9,2833080.164835165,1953032.2222222222,68.93670876185229
Chicago,10,2975600.923076923,2019955.1666666667,67.88394071937343
Chicago,11,2642563.285714286,1644687.888888889,62.23835386573643
Chicago,12,2438407.956043956,1528689.611111111,62.692118737638914
NYC,1,5552100.325423729,5542869.096153846,99.833734465719
NYC,2,5403829.93220339,5219164.173076923,96.58268743755283
NYC,3,6247323.155932203,6031215.923076923,96.5408027172394
NYC,4,6093266.752542373,6091240.884615385,99.9667523512549
NYC,5,6339449.166101695,6289234.5,99.20790174688673
NYC,6,6186128.742372882,5947393.730769231,96.14080111252136
NYC,7,5915729.608108108,5852979.480769231,98.93926647267868
NYC,8,5855824.026936027,5757600.346153846,98.32263264178765
NYC,9,6019438.094276094,6195895.423076923,102.93145848561218
NYC,10,6524660.404040404,6475697.288461538,99.24956836759587
NYC,11,5975314.750841751,5825492.076923077,97.49263963212033
NYC,12,5851778.407407408,6009587.884615385,102.69677807704092
SF Bay,1,1307369.2877697842,834076.5862068966,63.7980862797941
SF Bay,2,1258055.4820143885,778149.5172413794,61.853354511472936
SF Bay,3,1402081.0143884893,878264.6896551724,62.640081467633536
SF Bay,4,1360870.2949640288,911345.5172413794,66.96784554809233
SF Bay,5,1384921.1285714286,922034.5862068966,66.57668564548452
SF Bay,6,1351499.8,859463.3103448276,63.59329911442292
SF Bay,7,1361144.7142857143,888990.448275862,65.31197152996154
SF Bay,8,1429570.4928571428,940825.551724138,65.81176349294968
SF Bay,9,1364635.5071428572,959808.448275862,70.33441847672694
SF Bay,10,1445597.9214285715,992655.3448275862,68.6674579503146
SF Bay,11,1303228.1773049645,842844.8965517242,64.67362440664085
SF Bay,12,1269656.8368794327,823986.2068965518,64.89833969009675
